plate,IFA_Neospora,diagnosis_neo,neo_status,toxo_status,spratio,diagnosis_toxo,hum.pop.den,sample,kay.code,hy.id,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappeared.date,disappeared.event.status,disappeared.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
plate2,100,low,negative,positive,0.67,positive,hi,3773,665,bata,6/2/13,blood,NA,2013,11/16/11,talek,12/20/13,dls,dispersed,m,r,hex,NA,1,2,1,18.5,2011,subadult,NA,NA,NA
plate2,1600,high,positive,positive,0.72,positive,hi,6899,676,lust,3/14/13,blood,NA,2013,9/6/11,talek,NA,dls,double check: alive but with disappeared date,f,r,arg,NA,1,2,1,18.2,2011,subadult,NA,NA,NA
plate2,100,low,negative,positive,0.55,positive,hi,6965,688,xena,5/5/13,blood,NA,2013,11/25/11,talek,11/12/14,dls,,m,r,loki,NA,0,NA,1,17.3,2011,subadult,NA,NA,NA
plate2,800,high,positive,negative,0.39,negative,hi,3779,690,bnt,5/7/13,blood,NA,2013,9/25/11,talek,NA,dls,double check: alive but with disappeared date,f,r,mono,NA,0,NA,0,19.4,2011,subadult,NA,NA,NA
plate1,800,high,positive,positive,0.62,positive,hi,3663,698,odd,6/25/13,blood,white,2013,1/3/12,talek,NA,dls,double check: alive but with disappeared date,f,r,mgta,NA,1,1,1,17.7,2012,subadult,hi,NA,NA
plate2,200,low,negative,positive,0.55,positive,hi,7235,707,tilt,5/22/12,blood,NA,2012,7/20/08,talek,NA,dls,double check: alive but with disappeared date,f,r,ffl,NA,1,1,1,46.1,2008,adult,NA,35,-0.36
plate2,100,low,negative,negative,0.43,doubtful,hi,7232,727,hex,6/9/12,blood,NA,2012,3/4/03,talek,4/13/16,dls,inferred dead,f,r,bail,NA,NA,NA,0,111.2,2003,adult,NA,45,-0.76
plate2,800,high,positive,positive,0.62,positive,hi,7563,755,pan,5/8/12,blood,NA,2012,5/20/04,talek,3/21/13,dead,,f,r,mrph,NA,1,1,1,95.6,2004,adult,NA,8,0.72
plate2,800,high,positive,positive,0.71,positive,hi,7588,763,baez,5/19/12,blood,NA,2012,10/16/04,talek,NA,,,f,r,bail,NA,1,1,1,91.1,2004,adult,NA,48,-0.88
plate2,NA,,,positive,0.71,positive,hi,4249,774,dra,6/10/12,blood,NA,2012,11/15/07,talek,6/12/12,dead,car,f,r,ali,NA,1,1,1,54.8,2007,adult,NA,31,-0.2
plate2,400,low,negative,negative,0.47,doubtful,hi,5571,781,juno,5/28/12,blood,NA,2012,4/20/08,talek,NA,dls,double check: alive but with disappeared date,f,r,mrph,NA,1,1,0,49.2,2008,adult,NA,5,0.84
plate2,800,high,positive,negative,0.43,doubtful,hi,3752,807,mgta,4/11/12,blood,NA,2012,1/10/09,talek,5/30/19,dls,,f,r,mos,NA,1,1,0,39,2009,adult,NA,13,0.52
plate2,1600,high,positive,positive,0.87,positive,hi,7277,808,obam,6/7/12,blood,NA,2012,11/13/08,talek,4/12/14,dead,poison (april 2014 incident),f,r,nav,NA,1,2,1,42.8,2008,adult,NA,44,-0.72
plate2,800,high,positive,positive,0.71,positive,hi,12108,813,amaz,6/16/12,blood,cream; normal,2012,2/15/09,talek,NA,dls,double check: alive but with disappeared date,f,r,hel,NA,1,1,1,40,2009,adult,NA,4,0.88
plate2,1600,high,positive,positive,0.5,positive,hi,3765,837,zion,6/18/12,blood,NA,2012,2/19/10,talek,5/6/13,dls,inferred dead,f,r,sbl,NA,1,2,1,27.9,2010,adult,NA,23,0.12
plate2,200,low,negative,negative,0.32,negative,hi,5179,842,hrpy,5/24/12,blood,NA,2012,10/29/09,talek,2/27/18,dls,,f,r,pan,NA,NA,NA,0,30.8,2009,adult,NA,9,0.68
plate2,NA,,,positive,0.58,positive,hi,4171,845,buar,5/26/12,blood,NA,2012,12/18/09,talek,NA,dls,double check: alive but with disappeared date,f,r,hel,NA,1,2,1,29.2,2009,adult,NA,3,0.92
plate2,1600,high,positive,positive,0.52,positive,hi,4154,848,ziti,6/5/13,blood,NA,2013,4/3/10,talek,NA,dls,double check: alive but with disappeared date,m,r,guci,NA,1,2,1,38.1,2010,adult,NA,NA,NA
plate4,50,low,negative,positive,0.56,positive,low,5695,991,hg,8/17/99,blood,edta,1999,9/15/92,talek,1/22/03,dls,inferred dead,f,r,dj,zip,1,1,1,83,1992,adult,low,11,0.333333333
plate2,200,low,negative,negative,0.46,doubtful,low,4039,1005,zoey,6/22/12,blood,p frozen on side,2012,NA,serena.n,3/26/13,dls,,f,r,digs,NA,1,NA,0,NA,NA,adult,low,5,0.6
plate2,200,low,negative,positive,0.71,positive,low,7845,1008,pike,5/17/15,blood,NA,2015,10/30/07,happy.zebra,NA,dls,fate unknown,f,r,koi,NA,NA,NA,1,90.5,2007,adult,low,1,1
plate2,1600,high,positive,positive,0.71,positive,low,12109,1009,slin,7/22/12,blood,cream; normal,2012,NA,serena.s,8/14/18,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,3,0.75
plate3,800,high,positive,positive,0.8,positive,low,6917,1013,bart,8/8/12,blood,NA,2012,NA,serena.s,9/14/14,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,4,0.625
plate2,100,low,negative,positive,0.68,positive,low,4035,1015,peep,6/30/12,blood,NA,2012,NA,serena.n,1/24/13,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,3,0.8
plate2,1600,high,positive,positive,0.52,positive,low,4042,1020,tnsl,6/19/12,blood,p frozen on side,2012,NA,serena.n,6/12/14,dls,fate unknown,f,r,elf?,NA,NA,NA,1,NA,NA,adult,low,16,-0.5
plate3,1600,high,positive,positive,0.76,positive,low,3777,1021,mtn,7/21/12,blood,NA,2012,NA,serena.s,12/22/16,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,15,-0.75
plate2,800,high,positive,negative,0.39,negative,low,12107,1022,wafl,7/2/12,blood,"cream; normal, tube says ""hep. plasma 1 ml""",2012,8/1/07,serena.n,NA,,,f,r,NA,NA,NA,NA,0,59,2007,adult,low,1,1
plate2,400,low,negative,positive,0.58,positive,low,12112,1036,ema,7/7/12,blood,cream; normal,2012,NA,serena.n,3/13/16,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,17,-0.6
plate2,800,high,positive,positive,0.51,positive,low,3667,1048,digs,6/21/13,blood,white,2013,NA,serena.n,3/31/15,dead,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,4,0.7
plate3,1600,high,positive,negative,0.46,doubtful,low,6933,1071,taj,9/6/12,blood,NA,2012,NA,serena.s,1/8/18,dls,fate unknown,f,r,NA,NA,NA,NA,0,NA,NA,adult,low,8,0.125
plate3,200,low,negative,positive,0.78,positive,low,4036,1074,java,1/10/13,blood,pink,2013,NA,serena.s,11/26/17,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,1,1
plate2,1600,high,positive,positive,0.53,positive,low,6950,1088,shrm,2/8/13,blood,NA,2013,NA,serena.n,10/16/16,dead,unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,6,0.5
plate3,800,high,positive,positive,0.68,positive,low,3780,1092,clov,6/24/12,blood,NA,2012,NA,serena.s,8/24/16,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,2,0.875
plate2,800,high,positive,positive,0.63,positive,low,6999,1095,hndy,6/29/12,blood,NA,2012,1/1/08,serena.n,3/27/14,dls,,f,r,shrm,NA,NA,NA,1,53.9,2008,adult,low,13,-0.2
plate2,200,low,negative,negative,0.45,doubtful,low,3613,1096,hucn,7/2/14,blood,white,2014,9/12/11,serena.n,9/24/14,dls,double check: alive but with disappeared date,m,r,rbc,NA,1,1,0,33.6,2011,adult,low,NA,NA
plate2,1600,high,positive,positive,0.67,positive,low,7789,1137,uzi,3/19/15,blood,NA,2015,8/21/12,serena.n,3/11/16,dls,double check: alive but with disappeared date,m,r,angi,NA,0,NA,1,30.9,2012,adult,low,NA,NA
plate2,200,low,negative,positive,0.64,positive,low,7799,1156,ring,1/29/15,blood,NA,2015,11/30/09,happy.zebra,NA,,,f,r,ao,NA,1,1,1,62,2009,adult,low,18,-0.888888889
plate3,200,low,negative,positive,0.84,positive,low,7947,1162,trni,3/4/15,blood,pink,2015,7/4/12,serena.n,NA,dls,,m,r,wafl,NA,0,NA,1,32,2012,adult,low,NA,NA
plate2,100,low,negative,positive,0.9,positive,low,7814,1166,csby,3/10/15,blood,NA,2015,12/30/07,happy.zebra,NA,dls,fate unknown,f,r,spb,NA,NA,NA,1,86.3,2007,adult,low,15,-0.555555556
plate2,1600,high,positive,positive,0.62,positive,low,13634,1190,mchl,7/16/15,blood,"cream; normal; says ""junk plasma 4""",2015,11/17/12,serena.n,8/31/16,dls,,m,r,ele,NA,1,1,1,31.9,2012,adult,low,NA,NA
plate3,400,low,negative,positive,0.73,positive,low,4598,269a,dub,10/19/99,blood,edta,1999,NA,,6/4/16,dead,lions,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
