sorter,plate,IFA_Neospora,diagnosis_neo,neo_status,toxo_status,spratio,diagnosis_toxo,hum.pop.den,sample,antiquity,kay.code,hy.id,avg_min_dist,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappeared.date,disappeared.event.status,disappeared.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
34,plate2,200,low,negative,positive,0.71,positive,low,7845,2000s,1008,pike,,5/17/15,blood,NA,2015,10/30/07,happy.zebra,NA,dls,fate unknown,f,r,koi,NA,NA,NA,1,90.5,2007,adult,low,1,1
73,plate3,400,low,negative,positive,0.71,positive,low,4361,1990s,221,bm,45,7/27/97,blood,frozen on side; min1,1997,7/17/89,talek,8/18/99,dls,fate unknown,f,r,23s,NA,1,2,1,96.3,1989,adult,low,27,-0.857142857
14,plate2,800,high,positive,positive,0.71,positive,hi,12108,2000s,813,amaz,46.66666667,6/16/12,blood,cream; normal,2012,2/15/09,talek,NA,dls,double check: alive but with disappeared date,f,r,hel,NA,1,1,1,40,2009,adult,NA,4,0.88
9,plate2,800,high,positive,positive,0.71,positive,hi,7588,2000s,763,baez,26.57142857,5/19/12,blood,NA,2012,10/16/04,talek,NA,,,f,r,bail,NA,1,1,1,91.1,2004,adult,NA,48,-0.88
48,plate2,1600,high,positive,positive,0.71,positive,low,12109,2000s,1009,slin,,7/22/12,blood,cream; normal,2012,NA,serena.s,8/14/18,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,3,0.75
86,plate3,1600,high,positive,positive,0.71,positive,low,3770,1990s,36,ua,16.9,6/26/94,blood,"says ""junk p"" on tube",1994,3/1/87,talek,5/5/01,dls,lions,f,r,79,NA,0,1,1,87.8,1987,adult,low,11,0.130434783
10,plate2,NA,,,positive,0.71,positive,hi,4249,2000s,774,dra,50,6/10/12,blood,NA,2012,11/15/07,talek,6/12/12,dead,car,f,r,ali,NA,1,1,1,54.8,2007,adult,NA,31,-0.2
122,plate4,50,low,negative,positive,0.72,positive,low,4888,1990s,119,par,60,6/23/94,blood,edta,1994,7/15/93,talek,2/10/04,dls,inferred dead,f,r,gw,rcn,0,NA,1,11.3,1993,cub,low,13,-0.043478261
90,plate3,400,low,negative,positive,0.72,positive,low,5236,1990s,47,en,75.25,7/6/91,blood,tube says 7/7/91,1991,NA,talek,8/25/94,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
29,plate2,1600,high,positive,positive,0.72,positive,hi,6899,2000s,676,lust,40,3/14/13,blood,NA,2013,9/6/11,talek,NA,dls,double check: alive but with disappeared date,f,r,arg,NA,1,2,1,18.2,2011,subadult,NA,NA,NA
81,plate3,400,low,negative,positive,0.73,positive,low,4598,1990s,269a,dub,32.5,10/19/99,blood,edta,1999,NA,,6/4/16,dead,lions,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
122.1,NA,800,high,positive,positive,0.73,positive,low,4377,1990s,121,jb,28.33333333,7/4/94,blood,,1994,6/26/93,talek,12/3/97,dls,inferred dead,f,r,bsh,fn,1,1,1,12.3,1993,subadult,low,NA,NA
2,plate1,800,high,positive,positive,0.74,positive,hi,3816,2000s,363,roos,18.2,6/7/13,blood,NA,2013,3/2/07,talek,NA,dls,double check: alive but with disappeared date,f,r,nav,NA,NA,NA,1,75.2,2007,adult,NA,44,-0.829787234
116,plate5,200,low,negative,positive,0.76,positive,low,3977,1990s,29,sx,21.57142857,12/28/90,blood,p frozen on side of tube,1990,10/14/89,talek,7/7/00,dls,inferred dead,f,r,coch,NA,1,1,1,14.5,1989,subadult,low,NA,NA
103,plate5,800,high,positive,positive,0.76,positive,low,4314,1990s,124,rm,47.5,8/27/94,blood,"frozen on side, says rum on tube",1994,7/7/93,talek,9/12/96,dls,inferred dead,f,r,ua,NA,1,1,1,13.7,1993,subadult,low,NA,NA
50,plate3,1600,high,positive,positive,0.76,positive,low,3777,2000s,1021,mtn,,7/21/12,blood,NA,2012,NA,serena.s,12/22/16,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,15,-0.75
75,plate3,400,low,negative,positive,0.77,positive,low,6023,1990s,227,exc,19,2/3/99,blood,edta,1999,NA,,9/29/00,dead,unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
108,plate5,800,high,positive,positive,0.77,positive,low,5020,1990s,202,oly,10.5,6/12/97,blood,NA,1997,11/7/95,talek,6/20/99,dls,dispersed,m,r,gil,fn,1,1,1,19.2,1995,subadult,low,NA,NA
52,plate3,200,low,negative,positive,0.78,positive,low,4036,2000s,1074,java,,1/10/13,blood,pink,2013,NA,serena.s,11/26/17,dls,,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,1,1
56,plate3,200,low,negative,positive,0.78,positive,low,4054,1990s,105,tz,48.75,8/11/93,blood,p frozen at top,1993,NA,talek,2/18/00,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
19,plate2,800,high,positive,positive,0.8,positive,hi,3993,2000s,630,alde,10,4/30/12,blood,NA,2012,11/1/10,talek,3/21/13,dls,dispersed,m,r,loki,NA,1,1,1,17.9,2010,subadult,NA,NA,NA
49,plate3,800,high,positive,positive,0.8,positive,low,6917,2000s,1013,bart,,8/8/12,blood,NA,2012,NA,serena.s,9/14/14,dls,fate unknown,f,r,NA,NA,NA,NA,1,NA,NA,adult,low,4,0.625
55,plate3,800,high,positive,positive,0.8,positive,low,7508,1990s,10,bb,45.125,12/8/93,blood,NA,1993,7/13/89,talek,12/29/98,dead,humans (spear),f,r,bsh,NA,1,1,1,52.9,1989,adult,low,2,0.9
126,plate4,100,low,negative,positive,0.81,positive,low,12163,1990s,138,zulu,46.33333333,2/10/95,blood,cream; normal,1995,5/1/94,talek,8/31/97,dead,lions,m,r,pt,NA,1,2,1,9.4,1994,cub,low,14,0.103448276
96,plate4,400,low,negative,positive,0.81,positive,low,4369,1990s,9,hol,15,10/25/92,blood,NA,1992,NA,talek,3/30/93,dead,lions,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
61,plate3,1600,high,positive,positive,0.81,positive,low,13591,1990s,126,mig,67.94736842,9/20/94,blood,clear; appears empty,1994,NA,talek,2/2/10,dls,fate unknown,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
164,plate5,400,low,negative,positive,0.82,positive,low,12138,1990s,96,jab,70,12/8/92,blood,cream; normal,1992,2/2/92,talek,4/26/98,dls,inferred dead,f,r,bb,NA,1,NA,1,10.2,1992,cub,low,2,0.888888889
87,plate3,800,high,positive,positive,0.82,positive,low,5762,1990s,38,23s,32.5,2/25/91,blood,pink,1991,6/1/83,talek,3/25/95,dls,lions,f,r,27,NA,NA,NA,1,92.8,1983,adult,low,15,-0.4
76,plate3,800,high,positive,positive,0.82,positive,low,3872,1990s,23,gw,24,12/22/90,blood,NA,1990,1/1/78,talek,12/12/95,dls,inferred dead,f,r,NA,NA,NA,NA,1,155.7,1978,adult,low,11,0
120,plate4,400,low,negative,positive,0.83,positive,low,13587,1990s,108,cr,18.66666667,5/24/94,blood,cream; normal,1994,8/15/93,talek,3/3/02,dls,inferred dead,f,r,ot,NA,1,1,1,9.3,1993,cub,low,10,0.217391304
54,plate3,200,low,negative,positive,0.84,positive,low,7947,2000s,1162,trni,,3/4/15,blood,pink,2015,7/4/12,serena.n,NA,dls,,m,r,wafl,NA,0,NA,1,32,2012,adult,low,NA,NA
5,plate1,800,low,positive,positive,0.84,positive,hi,4148,2000s,653,pant,38.4,5/23/13,blood,NA,2013,12/21/10,talek,2/1/15,dls,dispersed,m,r,hel,NA,1,2,1,29,2010,adult,NA,NA,NA
92,plate4,400,low,negative,positive,0.85,positive,low,7299,1990s,55,lg,22.83333333,6/28/94,blood,color red,1994,6/1/82,talek,4/16/99,dls,inferred dead,f,r,11,NA,NA,NA,1,144.9,1982,adult,low,23,-0.913043478
71,plate3,400,low,negative,positive,0.86,positive,low,7511,1990s,19,q,300,12/5/90,blood,color pink,1990,10/29/88,talek,3/6/93,dls,dispersed,m,r,bsh,NA,0,1,1,25.2,1988,adult,low,NA,NA
68,plate3,800,high,positive,positive,0.86,positive,low,7452,1990s,181,sein,25.5,7/16/97,blood,edta,1997,3/22/95,talek,3/9/02,dead,humans (masai?),f,r,bsh,rcn,1,2,1,27.8,1995,adult,low,2,0.928571429
104,plate5,800,high,positive,positive,0.87,positive,low,4111,1990s,130,kl,100,12/17/94,blood,frozen on side,1994,7/7/93,talek,12/30/94,dls,inferred dead,f,r,ua,sy,1,2,1,17.3,1993,subadult,low,NA,NA
13,plate2,1600,high,positive,positive,0.87,positive,hi,7277,2000s,808,obam,28.66666667,6/7/12,blood,NA,2012,11/13/08,talek,4/12/14,dead,poison (april 2014 incident),f,r,nav,NA,1,2,1,42.8,2008,adult,NA,44,-0.72
27,plate2,800,high,positive,positive,0.88,positive,hi,6918,2000s,664,fxtr,0,5/8/13,blood,NA,2013,10/16/11,talek,5/9/16,dls,inferred dead,f,r,dra,NA,1,1,1,18.7,2011,subadult,NA,NA,NA
89,plate3,800,high,positive,positive,0.88,positive,low,3795,1990s,40,mw,15.5,3/4/91,blood,NA,1991,5/1/87,talek,11/15/91,dead,unknown,f,r,3,NA,0,1,1,46.1,1987,adult,low,4,0.7
21,plate2,200,low,negative,positive,0.89,positive,hi,4783,2000s,647,ted,7,5/24/12,blood,NA,2012,10/30/10,talek,3/25/18,dls,double check: alive but with disappeared date,f,r,aqua,NA,1,2,1,18.8,2010,subadult,NA,NA,NA
100,plate4,NA,,,positive,0.89,positive,low,12165,1990s,131,kip,41,12/18/94,blood,cream; normal,1994,12/10/93,talek,9/26/00,dls,inferred dead,f,r,who,fn,1,1,1,12.3,1993,subadult,low,NA,NA
36,plate2,100,low,negative,positive,0.9,positive,low,7814,2000s,1166,csby,,3/10/15,blood,NA,2015,12/30/07,happy.zebra,NA,dls,fate unknown,f,r,spb,NA,NA,NA,1,86.3,2007,adult,low,15,-0.555555556
110,plate5,400,low,negative,positive,0.9,positive,low,4115,1990s,237,ldv,58.27777778,3/7/99,blood,NA,1999,11/24/97,talek,4/23/07,dead,lions,m,r,hg,mer,1,2,1,15.4,1997,subadult,low,NA,NA
106,plate5,NA,,,positive,0.94,positive,low,5671,1990s,174,arse,27,8/9/96,blood,NA,1996,3/22/95,talek,8/9/96,dead,humans (us),f,r,bsh,rcn,1,1,1,16.6,1995,subadult,low,NA,NA
70,plate3,800,high,positive,positive,0.95,positive,low,7451,1990s,189,chic,10,11/6/97,blood,"""min1""",1997,NA,talek,4/9/98,dls,dispersed,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
107,plate5,400,low,negative,positive,0.97,positive,low,7534,1990s,18,bud,25,12/1/90,blood,color red,1990,7/13/89,talek,5/16/93,dls,dispersed,m,r,bsh,NA,1,2,1,16.6,1989,subadult,low,NA,NA
146,plate4,800,high,positive,positive,1.04,positive,low,5401,1990s,249,csn,64.71428571,1/29/99,blood,frozen on side,1999,2/15/98,talek,5/3/05,dead,lions,f,r,bsh,fn,0,NA,1,11.4,1998,cub,low,1,1
82,plate3,800,high,positive,positive,1.05,positive,low,6879,1990s,27,bsh,22.7,5/2/94,blood,NA,1994,1/1/83,talek,5/29/99,dead,kidney failure,f,r,kb,NA,NA,NA,1,136,1983,adult,low,1,1
79,plate3,800,high,positive,positive,1.08,positive,low,5009,1990s,25,coch,45.125,12/15/93,blood,NA,1993,2/1/85,talek,9/2/95,dead,lions,f,r,NA,NA,NA,NA,1,106.4,1985,adult,low,5,0.6
77,plate3,1600,high,positive,positive,1.09,positive,low,5003,1990s,24,mrb,27.5,12/22/90,blood,NA,1990,NA,talek,6/1/92,dead,hyenas,m,i,NA,NA,NA,NA,1,NA,NA,adult,NA,NA,NA
162.1,NA,100,low,negative,positive,NA,NA,low,NA,1990s,84,baj,10,7/14/93,blood,,1993,1/1/93,talek,,,,m,r,bb,fn,1,2,,6.37,1993,cub,low,NA,NA
162.2,NA,800,high,positive,positive,NA,NA,low,NA,1990s,87,gil,33,7/18/93,blood,,1993,8/1/92,talek,,,,f,r,bsh,NA,0,1,,11.5,1992,cub,low,NA,NA
